,content
22,【#中华秋沙鸭首次现身广东南岭地区#】近日，45只国家一级保护野生动物中华秋沙鸭现身南岭山脉南麓的广东省韶关市乳源县南水湖。据广东省林业局介绍，这是广东南岭地区首次发现“鸟类大熊猫”中华秋沙鸭。广东省科学院动物研究所副所长张强说，中华秋沙鸭对生活环境要求苛刻，多活动在具有优质水 ...全文
23,#七嘴扒楼#【#合租是种什么体验#？4年搬家4次，曾被邻居误认为是尾随者】小沈毕业后在郑州上班，为省钱一直与人合租。她曾两次被困屋中，第一次有合租同学帮忙，第二次由于合租人都不在，她只能求助楼下摊贩。她说，有时下班待在小屋里也很孤独，但不想麻烦身边的人社交，就靠睡觉来自愈。via： ...全文
24,#迪丽热巴任嘉伦恰似故人归过审#《与君初相识》《恰似故人归》令人好期待，既然过审了，离定档也不远了吧，期待任嘉伦的长意！追剧少女泡泡糖的微博视频
25,台湾远东集团董事长表态“反台独”马英九力挺:很正确的态度武力统一的微博视频
26,【#狗比娃金贵事件最新进展#：罚款1300元】12月5日，西安一对夫妻在小区遛狗时，由于未给两只小狗佩戴牵引绳，导致狗在奔跑中惊吓到一名2岁幼童。孩子家长见状将狗踢开，狗主人声称“狗比娃金贵”，继而从口角之争上升为肢体冲突。狗主人杨某被警方处以1300元罚款，两只犬被暂扣。西安市公安局莲湖分局 ...全文
27,【#官方回应石家庄一地健康码突然变黄#】#石家庄一地健康码突然变黄#昨天傍晚，有多位992热心听友向河北交通广播反映，他们在石家庄市鹿泉区，最近刚做了核酸检测，结果显示为阴性，但是健康码突然就变黄了，不知道是什么原因。992记者及时咨询了12345热线电话，工作人员回复：目前石家庄所 ...全文
28,#苏醒#《追光吧哥哥》-檀健次符龙飞明道苏醒汪东城印小天-《无名之辈》kdl学生情感那点事的微博视频
29,【#寻子父亲杜小华向网友求助征集信息#：只要是信息，就没有没用的】12月8日，孙海洋夫妇与儿子孙卓在湖北老家团圆后，送儿子回到山东继续上学。曾和孙海洋一起寻子的杜小华也一起驱车前往。#亲爱的原型只剩杜小华未找到孩子#9日，到达山东阳谷县之后，杜小华向广大网友喊话征集自己孩子的信息，希望 ...全文
30,【汤圆、年糕、青团......宁波这位警察届的漫画家以本土美食为镇海加油】#宁波抗疫日记#“宁波美食为镇海加油！”今天，@小欣漫画又出新品了，这次是通过各式宁波美食，为疫情封控中的镇海加油鼓劲。“小欣漫画”的主人叫沈欣，他表示“我是一名公安民警，虽然不在抗疫一线，但日常负责宁波市公安局 ...全文
31,爆蛋黄，最近很火的一道美食猫侠看天下的微博视频
32,小姐姐以前经常喂养的一只流浪狗，后来因为工作原因很久没见，有一次在上班路上突然碰到了，于是狗勾从自己孩子堆里挑了最乖的那一只带到了她面前呜呜呜真的太可爱了！！快乐储存所的微博视频
33,【儿子被拐14年不忘回家 生母：不想谅解又怕儿子伤心】#生母找回被拐14年儿子后陷两难#除电影《亲爱的》原型孙海洋的儿子外，与他同年被拐的另一名男孩符建涛，也已在三个月前与其父母见面相认。#符建涛 孙卓#2007年12月，符建涛被小区附近商场的保安吴某龙诱骗拐走，送到山东吴某龙二哥家当儿子。 ...全文
34,一兜薯泥一根线，这样居然能炸薯条？还能和炸鸡一起带走！🍟🍟🍟#视频制作人出道计划##不可辜负的美食#@鲜城·韩绾绾·的微博视频
35,【#川大一男生女厕所偷拍被开除学籍#】@四川大学7日发布情况通报：文学与新闻学院一男生在江安校区文科楼6楼女卫生间偷拍被现场挡获。经查，该生严重违纪，根据学校学生纪律处分相关规定，经学校研究决定，给予该生开除学籍处分。四川日报的微博视频
36,但凡洗车的人方向感稍微好点，都不会把S UV写成2UV，哎吆喂～
37,抱歉，此微博已被删除。查看帮助：网页链接
38,【缅怀！#戍边烈士陈祥榕20岁生日#】“清澈的爱，只为中国！”这是喀喇昆仑戍边烈士陈祥榕生前的战斗宣言。2020年6月，在边防斗争中陈祥榕英勇战斗，将年轻的生命永远留在了祖国的边防。如今，#戍边烈士陈祥榕姐姐成为军队文职#，续写“清澈的爱”！今天，是陈祥榕20岁生日，缅怀，致敬！   ...全文
39,【湖南一#男子和孙海洋撞号6年不敢换号#：怕错过线索】因与寻子14年的孙海洋手机尾号仅有一数之差，从2015年起，湖南小伙袁先生总会接到许多误拨的电话。他表示，想过换号码，但是又怕错过线索。再往后，他习惯了突然的来电，每次他都会告诉对方孙海洋正确的联系方式，然后表示感谢。尽管6年间，他还未 ...全文
40,超市买了瓶新的娃哈哈AD钙奶，俺的上古老图怎么叕被抄了。。
41,1999年，伊能静被查出恶性肿瘤，医生拉着庾澄庆说：“手术可能会摘除子宫，永远都不能再生育，你同意吗？”当时伊能静31岁，庾澄庆也快40岁了，正是要结婚生子的年龄。但庾澄庆毫不犹豫地对伊能静说：“不管发生什么事，我都会娶你的。”伊能静感动得热泪盈眶，心想这真是打着灯笼都找不到的好男人 ...全文
42,2021那些全力以赴的瞬间，致敬每一个挺身而出的平凡英雄土味街拍大赏的微博视频
43,【#萌娃坐电梯被误认电瓶车#，遭监控多次提醒后嘟嘴不满：你咋那么犟】12月5日，山东。萌娃和妈妈坐电梯，上去后发现电梯把孩子当成电动车引爆笑。视频中，电梯一直不动，监控识别后发出提示：禁止电瓶车入内。然而电梯中仅有两人，萌娃得知自己被当成电瓶车后，好像气得对监控探头感慨：咋那么犟呢？ ...全文
44,【山东阳谷#警方调查孙卓符建涛户口办理问题#】关于近日备受关注的孙海洋之子孙卓及另一儿童符建涛被拐案，山东聊城阳谷县公安局9日凌晨发布情况通报：我们第一时间成立专案组对被拐孩子户口办理问题展开调查，初步查明：孙卓，即孙海洋之子，现用姓名为国某，户籍地在黑龙江省某市。报道中涉及的另一 ...全文
45,如果没有牺牲，今天是你20岁生日。🍊#陈祥榕烈士生日快乐#
46,【FB】韩国一男生记录的自己的女友说过的名言哈哈哈哈哈哈哈哈哈
47,每想你一次，天上就飄落一粒雪🌧️🌧️🌧️
48,【#香港维港上空出现不明飞行物#，盘旋约十分钟后消失】据香港东网报道，12月6日下午4时许，不少香港市民在维多利亚港上空发现不明飞行物（UFO），该物体在空中不停盘旋，并往西环方向飞行，历时约10分钟后才消失。据报道，这一不明飞行物出现时，有不少香港市民在地上围观，并啧啧称奇。有市民表示， ...全文
49,#柴犬宝宝打架有多可爱#大脑切片的微博视频
50,唐山市曹妃甸区公安局情况通报
51,【#男孩扶摔倒路人幸运躲过高坠事故#】据@沸点正能量报道：12月4日，湖北阳新，一小男孩坐在店门口的小桌子旁写作业，看到路边有人骑电动车摔倒，孩子就赶紧起身离开桌子去路边扶摔倒的路人。不久，楼上突然坠物将学习桌砸翻，等孩子扶完人回来发现桌子倒了，还一脸懵。事后，孩子父亲乐先生调看监控 ...全文
52,你一定没有见过吃过的油——橡胶籽油小时候在德宏长大，那有成片的橡胶树林，秋季我会跟着傣族阿姨们去割胶，顺便捡些橡胶籽回来串手链。橡胶籽每一颗的花纹都是独一无二的，新鲜的橡胶籽有一定毒性，经过多次高温烘培后脱毒就可以提取橡胶籽油，油质特别轻薄透亮，吃起来油感很薄，你们一定没吃过… ...全文
53,远看是孝子，近看是大孝子！
54,当金毛 Soony 看到主人被惊喜求婚的场景，好像明白了其中的意义一样，直接快乐到原地起飞了(TT: bodybymadison)YouTube精选的微博视频
55,#光剑变装挑战#勉强交作业刘涛tamia的微博视频
56,接到网友私信：#青岛滨海学院#有学生坠楼，学校以毕业证为要挟，禁止学生对外传播消息。同时，许多学生反应，该校长期存在问题，学生权益无法得到保障。
57,孙卓亲生姐姐（见图一）在国外读研究生，大二到威尼斯一所大学做交换生，游历欧洲各国。弟弟（见图二）孙辉会国际象棋、篮球打得也很好还会主持，孙卓被拐14年，丢失的可不仅仅是亲情。
58,成都咔咔500元吃一大锅“肥肠鱼土火锅”，肥肠当毛肚吃，4斤大肥肠头吃过瘾#冬天的第一锅肥肠##美食种草大赛##美食真香现场#@鲜城肉肉大搜索的微博视频
59,你拒绝社交的样子很美！#你拒绝社交的样子很美##年度欢乐放映厅##年底flag冲刺季#是个维维啊的微博视频
60,#孙卓养母发声#【对话被拐14年孙卓养母：#嫌犯说孙卓是离异家庭弃养#】12月8日，孙海洋夫妇与儿子孙卓在湖北老家团圆后，送儿子回到山东养父母家继续上学。经过多方联系，记者对话上孙卓养母。孙卓养母称，嫌疑人告知她孙卓是离异家庭弃养，周边邻里都不知道孙卓的身世。孙卓是否选择回到亲生家庭，孙 ...全文
61,#刘宇宁献唱古董局中局主题曲#纵然身陷危局，亦要坚守信念与初衷，为家族崛起，为还原真相。“在迷局中舞动，混乱时终于拨开了迷雾重重，人潮间你我并非过客匆匆。”@摩登兄弟刘宇宁倾情献唱主题曲《念》MV正式上线。年度娱乐爽片#电影古董局中局#正在全国热映中。出品：@英皇电影@联瑞影业...全文
62,#央视镜头下的绿鱼头#满洲里核酸检测，惊现一位“鱼头怪上电视了，上CCTV了松鼠视频的微博视频
63,宋祖儿：把出生番位刻在了骨子里
64,我在北京吃什么vol.08𝟙.美都波烤肉𝟚.铁锅焖面(沙滩后街店)𝟛.Nudake 山峰蛋糕⛰️𝟜.伊可滋 芋泥虎皮卷三天内吃了两顿美都波烤肉！别提我有多爱了看到柚柚的#芝士配排骨有多绝#又勾起了我对韩餐的想念🥰#理想生活季##美食生活日记#
65,我发现了，让扁头变圆头的发型和小技巧～#如何解决扁头女生的烦恼#我发现了bot的微博视频
66,从几段采访视频看，孙卓并不是笨人，他们孙家这方面遗传基因是可以的，都是头脑可以的人，他父母的言谈很得体，亲大姐还上了名校。孙卓的问题是有头脑没见识，一方面他还是个孩子，思想不成熟完全可以理解，另一方面成长环境太差，他被拐卖到的地方是山东一个叫阳谷的县，我查了一下，似乎是个有名的 ...全文
67,#参加前女友婚礼是什么滋味#一个表情胜过千言万语小熊劈叉的微博视频
68,空姐太会了！
69,#大S为了驻颜曾经晕倒#大S为了驻颜，曾经吃自己姐姐和妹妹的胎盘。有一次她突然晕倒，传言是因为吃胎盘太多导致的中毒。被称为美容大王的大S，其实并不天生丽质。她由皮肤黝黑，变得白皙细嫩，容颜不老其实是有秘诀的。她曾经出版过一本《美容大王》，被众多爱美女士追捧。如今45岁的大S，虽然 ...全文
70,【#昌景黄高铁最长隧道全线贯通#】12月6日上午，经过944天的攻坚克难，由中铁八局昌景黄铁路二标二分部负责施工的西武岭隧道桃园斜井大里程作业面至竹林下斜井3#作业面的最后一个作业段顺利贯通，标志着昌景黄高铁最长隧道西武岭隧道全线贯通，较工期提前了10天，为昌景黄高铁2022年年底开通奠定了坚实 ...全文
71,王源《Bye Bye》现场版，一声汽笛，跌落在旷野，无限惆怅的孤独，在别离时刻，一齐从心头滋生。空有离别恨，难有离别言；离别之时叹离别，自是冷落，何时逢；凄凄不思量，艾艾自难忘。耳朵都听怀孕了的微博视频
72,美国众议院亚太外交事务小组委员会主席Ami Bera和华盛顿特区战略与国际研究中心南海问题专家Gregory Poling联名呼吁：尽快重启建设2014年美菲《加强防务合作协议》（EDCA）中的美军驻菲基地，并必须努力批准调拨资源，建设新的EDCA协议基地。这是在中短期内重建美国威慑力的唯一现实战略。 ...全文
73,【#无锡首个零碳公园开建#】12月3日下午，无锡首个地铁TOD“零碳公园”示范工程启动。公园位于梁溪科技城西部广石片区，地铁4号线天河停车场上方。公园内包含光伏跑道、光伏廊架、废物利用装置艺术、生态浮岛等“低碳环保”设施，将低碳环保融入到了市民日常生活当中。未来公园还将包含环形运动跑道、 ...全文
74,#广州身边事#【员工拒绝调岗被辞退，公司被判赔16万元】阿梅在广州市华某公司干了13年，终于干到了行政部人力资源课长职位。但她万万没想到，自己因为拒绝调岗去生产流水线工作，结果竟会被公司一纸辞退。阿梅不服，认为公司违法解除劳动关系，为此和公司闹上了公堂。记者12月7日从广州白云法院了解 ...全文
75,原唱：让人寒入骨髓人间不值得！凤凰传奇：暖入心底人间还有希望！美昕s的微博视频
76,#周星驰##成龙#【经典】做人如果没有梦想，那和咸鱼有什么分别可能我们很多的活的还不弱一条咸鱼情怀港片的微博视频
77,【#西安交警公布16个常见拥堵点段#】从11月底开始，西安交警开展了事故控降、缓堵保畅专项行动。对城市路段交通拥堵问题，西安交警邀请市民共同探讨，广泛征集市民对缓堵治乱、信号灯设置、交通设施设置、乱停乱放治理等方面的意见建议。综合各方意见收集情况，西安交警经过梳理、归纳，统计出16个群众 ...全文
78,抱歉，此微博已被删除。查看帮助：网页链接
79,。。。还给了个长时间大特写。。。我怀疑央视里面有懂行的。。。江宁婆婆的微博视频
80,救命，这只猫成精了…这是要卷死我们吗#猫都比我会练瑜伽#菜菜kana的微博视频
81,【托托食堂】没想到香蕉和花生酱竟然这么般配！！今年感觉一直在各种烤水果，所有的都吃下来，感觉最爱的还是热香蕉的味道~这个也很简单来着，平时拿来做给小朋友吃也很新奇哈哈哈，花生酱的醇香和香蕉原本就有的口感一交叠太是那个了！#理想生活季##美食视频打卡计划#@鲜城...全文
82,回家乡就是大吃面和大劈叉的动作！！！！担担面太好吃了！！@悦游中国都江堰市
83,最帅体育老师又出新课程了…还不学起来？郭艾伦的微博视频
84,别人有的我们也得有！
85,【#你好，明天#】江苏南通海门一群市容公司人员围抢老人甘蔗，触犯众怒，纪委介入调查。吆五喝六，一身匪气，不是维护市容，而是败坏市容；不能带来秩序感，只会制造社会断裂。一旦放任，政府形象必被“绑架”，人心必然散失。服务可以购买，监管不能缺位，请牢记公权力来源于人民，请善待人民群众！ ...全文
86,二胎夫妻都想要女孩，结果告知是男孩后爸爸的反应…#吸睛制作人计划##视频制作人出道计划#全民猎奇君的微博视频
87,桃子姐在家做一个家庭版蛋糕，铺上奶油和水果，大人小孩都爱吃#不可辜负的美食##自制电饭煲蛋糕#蜀中桃子姐的微博视频
88,#印度国防参谋长坠机事故中身亡#【印媒：印度国防参谋长在坠机事故中身亡】印度新德里电视台刚刚消息，印度国防参谋长比平•拉瓦特在8日发生的坠机事故中身亡。#印度国防参谋长拉瓦特身亡#比平·拉瓦特于2016年12月出任印度陆军参谋长，2019年12月31日卸任。2019年8月15日印度独立日当天，印度总理莫 ...全文
89,有问题找警察，广西公安手把手教你“发家致富”～共青团中央的微博视频
90,#原来狗也会嫌家贫#囧囧的微博视频
91,#毛不易巡回演唱会官宣#各位好，想和大家分享一个消息：我的二巡即将开始了，首站在苏州。名字虽然叫“毛不易·幼鸟指南”巡回演唱会，但是歌曲不光只有《幼鸟指南》这张专辑的，自然也会安排一些小惊喜。用音乐保存下的那些故事和风景，想分享给好久不见的你们。1月8日，苏州#毛不易幼鸟指南巡回演唱会 ...全文
92,与你发起甜蜜日常共享🎧我好像是有一些美食雷达在身上的🤤✌️
93,哈哈哈哈哈哈哈哈哈艹
94,网友发帖：现实中无处诉说，说一说中年男人的辛酸。
95,【刑拘！#女子用小刀划破百余个自行车坐垫#】近日，@义乌公安通报称，一女子用小刀划破路边百余个自行车坐垫，涉案金额近万元。说起原因，女子竟表示想去牢中“度假”。目前，该女子已被警方刑事拘留。@澎湃新闻澎湃新闻的微博视频
96,#它在发光耶#圣诞限定发光小勾
97,文帝义子—凌不疑，邀君共赏星汉灿烂！#星汉灿烂家族初识群像视频##星汉灿烂全阵容官宣##电视剧星汉灿烂#吴磊LEO的微博视频
98,老公一回来就把我的锅给烧坏了，今天就用新开锅的土灶给他们做个麻辣兔丁，焦香麻辣又酥脆，连骨头都想嚼着吃！#跟着rose学做菜##我要上同城精选#丽水·遂昌县Rose_anzai的微博视频
99,#孙子为91岁爷爷完成心愿清单#【#孙子帮91岁爷爷重返19岁任教小学#：去他第一次任教的小学】湖北宜昌的黄杰，从4年前开始为爷爷实现愿望清单。今年黄杰推掉工作，陪91岁的爷爷重返他19岁时任教的乡村小学，还帮爷爷见到了自己的学生。目前他已为爷爷实现了四个愿望，黄杰说，希望爷爷能老得慢一点 ...全文
100,【南京疾控：#鼓励幼儿在12月龄前接种疫苗防手足口病#】近期，#南京儿童医院1天接诊20多个手足口病患儿#，大多是5岁以下儿童。医生提醒，孩子感染手足口病后，要隔离两周，不与其他孩子接触，同时做好家庭卫生。南京疾控提醒，EV-A71型灭活疫苗可用于6月龄至5岁儿童预防EV-A71感染所致的手足口病，鼓励 ...全文
101,【中国印钞造币总公司董事#陈耀明接受审查调查#】中央纪委国家监委网站讯 据中央纪委国家监委驻中国人民银行纪检监察组、河北省监委消息：中国印钞造币总公司党委委员、董事陈耀明涉嫌严重违纪违法，主动投案，目前正接受纪律审查和监察调查。陈耀明简历陈耀明，男，汉族，1964年1月出生， ...全文
102,#还以为白敬亭发的是原图#打眼一看，没毛病，仔细一看，哎呀我去，笑出了腹肌，白敬亭太搞笑了玖鱼小仙女儿的微博视频
103,【林郑月娥：等待中央最终决定通关时间】香港行政长官林郑月娥7日出席行政会议前见记者时表示，内地专家认为已具备通关条件，香港何时能与内地通关，最终要看中央的决定。林郑月娥指政府已为通关展开准备多项工作，相关政策局7日起会接触特定群组编制审批通关配额优先次序。林郑月娥表示，中央政府目 ...全文
104,【辟谣“浙江越秀外国语学院因疫情封校”】有个别网友在微信群发布“浙江越秀外国语学院因疫情封校”等信息引发社会关注。昨晚，@浙江越秀外国语学院官方微博发布声明进行辟谣。#绍警有话#严禁恶意造谣传谣、谎报瞒报疫情、发布不实信息。本公告自发布之日起施行，所有在绍单位和人员均应严格遵 ...全文
105,#女子玩滑板摔倒老公幸灾乐祸#12月5日，河北保定市雄安。老婆玩滑板摔跤老公幸灾乐祸：她平衡力不好我就预料到她要摔！石家庄全攻略的微博视频
106,广西消防营区内出现野猪！真马大哈的微博视频
107,贺峻霖发博问夜宵选麻辣烫还是串串，我可以选图片上这个小帅哥吗
108,#你永远可以相信张杰的live#@张杰唱的《谁的眼泪在飞》好有画面感！@林志炫TerryLin说张杰的歌声把大家带到了海边。张杰的歌声好有氛围感，瞬间带人到歌曲的情景中。新浪音乐的微博视频
109,【新一轮冷空气来袭！#东北局地降温可超16℃#】据中国气象局消息，12月9日夜间至12日，新一股冷空气将从新疆北部出发吹袭我国大部地区，我国大部地区将有4～8℃降温并伴有4～5级偏北风，其中新疆北部、内蒙古中东部、吉林、黑龙江等地降温幅度有10～14℃，局地可超过16℃；13日早晨最低气温0℃线大致位 ...全文
110,#东营这段时间的航班取消#【注意！12月8日-21日期间北京（首都）-东营-杭州全部航班取消】日前，从胜利机场了解到，根据疫情防控相关规定，航空公司调减出现中高风险地区的省会城市至北京的航班。12月7日，杭州市新增中风险地区，航空公司将取消12月8日-21日期间北京（首都）-东营-杭州全部航班。在此 ...全文
111,为了不让贺灿阳发现自己的恋情元宋居然谎称恋爱对象是个男的#明星日常##综艺#思思影视剪辑的微博视频
112,【鼓楼区关于划定新冠肺炎疫情社区防控区域的通告】#南京鼓楼区划定疫情防控区域#2021年12月7日23时，南京市鼓楼区1例外省市确诊病例的密切接触者陆某在集中隔离期结束后，继续居家健康检测期间核酸检测结果呈阳性。8日早晨，经市级专家组诊断为新冠肺炎确诊病例（普通型）。为有效阻止疫情扩散，保障 ...全文
113,【眼馋中国基建，印度誓言超越三峡大坝，开闸仅4秒，大坝就崩了？】长期以来，印度一直不服中国实力领先自己，所以在许多场合，印度都叫嚣着要超越中国，在看到国内三峡大坝建成后，眼馋中国基建的印度，誓言要超越三峡大坝，结果令莫迪没想到的是，开闸仅4秒钟#霹雳火军事#微博公开课...全文
114,【#浙江三地累计报告阳性41例#】@中国蓝新闻记者从#浙江第八十二场疫情发布会#了解到，自12月5日以来，截至今天下午3时，浙江省宁波、绍兴和杭州三地累计报告阳性感染者41例，包括确诊病例12例、无症状感染者13例、初筛阳性16例。其中，宁波镇海累计报告确诊病例8例，无症状感染者5例、初筛阳性5例； ...全文
115,谭松韵一边吃一边喝，张新成宋威龙这边连坐的地方都没有，对比差别太大了#2021微博混剪大赛##2021最佳人物#娱美酱的微博视频
116,【警惕新型非法放贷！#放贷人全程非接触锁死借款人手机#】#男子贷款200元3天未还手机被锁死#近日，上海警方破获一新型网络非法放贷案。犯罪团伙利用一款名为“聚宝盆”的所谓贷款软件，获得被害人手机的远程控制权。如果被害人未按时还款，手机便会锁死。其主要犯罪对象为在校学生和低收入人群。（ ...全文
117,【#妈妈快递太多儿子择偶标准受影响#】12月8日，吉林一男孩帮妈妈拿快递时，觉得妈妈快递太多，于是男孩对着他妈妈说，有太多快件的媳妇，长的再好看也不要。孩子妈妈表示，拍下来以后留给媳妇看。看度新闻的微博视频
118,【#外交部回应日本议员今日集体拜鬼#】日本跨党派国会议员团体99名议员今天集体参拜了靖国神社。赵立坚表示，80年前的今天，日本偷袭珍珠港，发动太平洋战争。#赵立坚说日本政要高调参拜靖国是刻意挑衅#。中方对此坚决反对，日方应正视并深刻反省侵略历史，同军国主义划清界限。人民视频的微博视频...全文
119,【连体育课也不缺席！#宁波一体育老师独自在操场讲课#】“开合跳，我们做10个，开始……”12月8日上午，宁波镇海区中兴中学的体育老师陈舟正在学校的操场上上体育网课。镇海区自12月8日起，全区学校停课不停学，开展线上教学。（钱江晚报·小时新闻记者 唐旭锋 镇海融媒体中心记者 林晓艳 郑童 汤越）   ...全文
120,【#玉林一道路的中间是市场和停车场#】网友爆料称：#玉林#某路段有100多米左右等位置，道路的中间是市场是垃圾堆又是停车场！玉林玉林生活君的微博视频
121,#乐游广东#【#大雪时节的广州繁花似锦#】12月初的广州，才刚刚踏入初冬不久，和煦的阳光，清爽的微风还有悄然绽放的繁花，似乎都在诉说着她正迎来一年中最美好的时刻。而异木棉，当属广州初冬的盛世美颜中的C位，如同一层粉色的滤镜，让人沉浸其中，尽享冬日浪漫。广州日报的微博视频
122,#王一博##黄轩##视频藏宝阁#神都小分队原来之前就已经集结了两位了，还顺便谈了个心。迷妹你懂的的微博视频
123,#微博视频号打卡计划#12月8日，记者从高速交警沧州支队获悉，沧州#小伙隐瞒同事无证驾驶#，因超速被交警查获。同事：没证你倒是说啊！（源：青豆新闻）石家庄全攻略的微博视频
124,孙颖莎在刘国梁和李隼的指导下。相信她在世乒赛上会取得好成绩！孙颖莎世乒赛休斯顿世乒赛#金牌混剪##影视剪辑#小沙子视频的微博视频
